交互检查规则,,,,,,,, ,,,,
导出规则,,,,,,,,,,,,
分类,,,,,,,,关卡掉落保底,,,,
表头,掉落编号,随机次数,掉落物品,掉落数量,掉落几率,首次必掉,首次必掉数量,保底物品判断,保底判断次数,保底掉落物品,保底掉落物品数量,保底掉落概率
关键字标识,Y,,,,,,,,,,,
唯一标识,Y,,,,,,,,,,,
非空标识,Y,,,,,,,,,,,
检查规则,,,,,,,,,,,,
变量名称,id,num,itemId,itemNum,prob,fstDrop,fstDropNum,bdpdItem,bdpdNum,bdDropItem,bdDropNum,bdDropProb
变量类型,I,I,E,E,E,E,E,E,I,E,E,E
变量空间,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs
,,,,,,,,,,,,
BEGIN,怪物掉落表,monster_drop_data,,,,,,,,,,
,10000,,,,,,,,,,,
,10001,,,,,,,,,,,
,10002,,,,,,,,,,,
1000,10003,1,,,,,,,,,,
,10004,,,,,,,,,,,
1002,10005,1,,,,,,,,,,
,10006,,,,,,,,,,,
1004,10007,1,,,,,,,,,,
,10100,,,,,,,,,,,
1005,10101,1,,,,,,,,,,
,10102,,,,,,,,,,,
,10103,,,,,,,,,,,
,10104,,,,,,,,,,,
1006,10105,1,,,,,,,,,,
,10106,,,,,,,,,,,
,10107,,,,,,,,,,,
,10108,,,,,,,,,,,
1007,10109,1,,,,,,,,,,
,10110,,,,,,,,,,,
,10111,,,,,,,,,,,
